id,ts,workshop,session,source,rating,clarity,comment,done
84,2026-08-13 06:58:18.113066+00:00,lab-u02-namespace-scope,dcst-w37-pq4v,form,4,4,[Major] If i click on Stop Guidance there is no way to exit from lab session. Stopping the guidance lets you roam the OpenShift console. The only way to exit is terminated the lab session.,False
79,2026-08-07 07:10:50.298088+00:00,lab-a07-itsm-console,dcst-w44-4x2n,form,4,5,"[Minor ] References to A06 looks like an internal identification. In the catalog are identified as Lab1, Lab2, .",False
76,2026-08-06 12:45:53.022889+00:00,lab-u02-namespace-scope,dcst-w37-rf4s,form,4,4,"great interactive learning - maybe the animations (coloring the screen in blue) is a little bit distracting, if possible it could be good to shorten the animation",False
75,2026-08-06 12:42:06.325437+00:00,lab-a06-terms-namespaces-tenancy,dcst-w33-swnz,form,4,4,"The rating isn’t applied—after rating a course from the catalog view, the “Not yet rated” message still appears.",True
74,2026-08-06 12:40:30.239686+00:00,lab-a05-what-is-dcs,dcst-w29-p6gf,form,4,5,"The rating isn’t applied—after rating a course from the catalog view, the “Not yet rated” message still appears.",True
73,2026-08-06 12:37:19.223193+00:00,lab-a06-terms-namespaces-tenancy,dcst-w33-llbm,form,4,4,"Minor:
Lab IDs are shown as A01, B05 – these look like internal codes. In the catalog the labs are named Lab 1, Lab 2; use the same naming everywhere.

Major:
Amber default: Clicking a “Verify” button before the previous step is finished changes the new step to amber (processing) instead of showing an error. Once the earlier step is done, the state becomes green.
Green default: In another flow the premature step turns green (OK) even though the prior step hasn’t been completed.",False
72,2026-08-06 12:07:45.439598+00:00,lab-u01-container-access,dcst-w36-4d7j,form,5,5,Perfect tour!,True
69,2026-08-06 09:34:43.251941+00:00,lab-a05-what-is-dcs,dcst-w29-kqbd,form,4,4,"Suggestion: Clarify that DCS serves Airbus Commercial, Defence, and Helicopter platforms—not only Commercial.  
Suggestion: Move this lab before “Deploy Your First App,” since it provides the basic introduction to DCS.",False
68,2026-08-06 08:44:03.186778+00:00,lab-a04-storage,dcst-w32-lvkp,form,4,4,"The rating isn’t applied—after rating a course from the catalog view, the “Not yet rated” message still appears.",False
67,2026-08-06 07:48:21.325907+00:00,lab-a04-storage,dcst-w32-wz99,form,4,4,"[Critical]Writing to '/opt/app-root/src/data/marker' fails with Permission denied. The container user lacks write rights on the mounted volume; this must be fixed.

[Major]Amber state: Clicking “Verify” before the previous step completes changes the new step to amber (processing) instead of showing an error.
[Major]Green state: In another flow, the premature step turns green (OK) while earlier steps are still incomplete.

[Minor]“Overview & Storage” tag says Beginner but the content is Intermediate.
[Minor]Lab IDs are written as A01/A02; catalog uses. Lab 1/Lab 2 – make the naming consistent.",False
66,2026-08-05 12:56:37.678521+00:00,lab-u01-container-access,dcst-w36-4g2k,form,4,4,"t seems there is a small bug, by default I'm not able to move on from the first step - the button ""Continue"" doesn't work. I insisted and played around and now seems to work.",False
